[INFO][12.03.2016 13:43:39] Logger started to work
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testFile.mtx...
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла завершено.
[INFO][12.03.2016 13:43:42] Выбранный формат матрицы - плотный.
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы...
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы завершен.
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы...
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы завершен.
[INFO][12.03.2016 13:43:42] Успешное завершение ввода матрицы.
[INFO][12.03.2016 13:43:53] Чтение информации о правой части из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testRP.rtx.
[INFO][12.03.2016 13:43:53] Ввод размерности правой части...
[INFO][12.03.2016 13:43:53] Ввод размерности правой части завершен.
[INFO][12.03.2016 13:43:53] Ввод элементов правой части...
[INFO][12.03.2016 13:43:53] Ввод элементов правой части завершен.
[INFO][12.03.2016 13:43:53] Успешное завершение ввода правой части.
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 0, residual is 1
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 159, residual is 1,71263016549252
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 160, residual is 1,72548249387649
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 161, residual is 1,73830839964678
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 162, residual is 1,75110631451408
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 163, residual is 1,76387472066572
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 164, residual is 1,77661215076119
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 165, residual is 1,78931718786744
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 166, residual is 1,80198846533647
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 167, residual is 1,81462466662773
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 168, residual is 1,82722452507771
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 169, residual is 1,83978682361927
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 170, residual is 1,85231039445323
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 171, residual is 1,86479411867453
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 172, residual is 1,87723692585551
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 173, residual is 1,88963779358867
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 174, residual is 1,90199574699121
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 175, residual is 1,91430985817381
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 176, residual is 1,92657924567585
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 177, residual is 1,93880307386932
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 178, residual is 1,95098055233369
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 179, residual is 1,96311093520378
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 180, residual is 1,97519352049286
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 181, residual is 1,98722764939293
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 182, residual is 1,99921270555419
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 183, residual is 2,01114811434568
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 184, residual is 2,02303334209889
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 185, residual is 2,0348678953362
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 186, residual is 2,04665131998591
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 187, residual is 2,05838320058546
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 188, residual is 2,07006315947463
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 189, residual is 2,08169085598008
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 190, residual is 2,09326598559291
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 191, residual is 2,10478827914053
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 192, residual is 2,11625750195435
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 193, residual is 2,12767345303446
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 194, residual is 2,13903596421267
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 195, residual is 2,15034489931503
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 196, residual is 2,16160015332496
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 197, residual is 2,17280165154809
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 198, residual is 2,18394934877979
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 199, residual is 2,1950432284764
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 200, residual is 2,20608330193092
